Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;0999-wombat;B8:27:EB:6F:ED:ED;;6;No;WPA,TKIP;No;54.0;0;12;0;81;0;0;81;;;Wed Apr  8 13:36:29 2026;Wed Apr  8 13:36:37 2026;-34;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;1020-wombat;B8:27:EB:FA:FF:FC;;6;No;WPA,TKIP;No;54.0;0;9;0;0;0;0;0;;;Wed Apr  8 13:36:29 2026;Wed Apr  8 13:36:37 2026;-55;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;0960-wombat;B8:27:EB:FF:C8:F5;;6;No;WPA,TKIP;No;54.0;0;17;0;2;0;0;2;;;Wed Apr  8 13:36:29 2026;Wed Apr  8 13:36:37 2026;-47;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;eduroam;D0:D3:E0:ED:C6:80;;1;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Wed Apr  8 13:36:29 2026;Wed Apr  8 13:36:37 2026;-47;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;ulsecure;D0:D3:E0:ED:C6:81;;1;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Wed Apr  8 13:36:29 2026;Wed Apr  8 13:36:37 2026;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;ulsponsor;D0:D3:E0:ED:C6:82;;1;No;OPN,None;No;130.0;0;5;0;0;0;0;0;;;Wed Apr  8 13:36:29 2026;Wed Apr  8 13:36:37 2026;-47;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;ulvisitor;D0:D3:E0:ED:C6:83;;1;No;OPN,None;No;130.0;0;5;0;0;0;0;0;;;Wed Apr  8 13:36:29 2026;Wed Apr  8 13:36:36 2026;-47;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;ulsecure;D0:D3:E0:ED:AA:01;;11;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Wed Apr  8 13:36:32 2026;Wed Apr  8 13:36:36 2026;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;ulsponsor;D0:D3:E0:ED:AA:02;;11;No;OPN,None;No;130.0;0;6;0;0;0;0;0;;;Wed Apr  8 13:36:32 2026;Wed Apr  8 13:36:36 2026;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;ulvisitor;D0:D3:E0:ED:AA:03;;11;No;OPN,None;No;130.0;0;6;0;0;0;0;0;;;Wed Apr  8 13:36:32 2026;Wed Apr  8 13:36:36 2026;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
