Date : 2026-01-19 12:42:26
Directory : c:\Users\malon\Downloads\ECE500\homework1\homework1_unity
Total : 68 files,  9700 codes, 896 comments, 2040 blanks, all 12636 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                                | UnityShader |        253 |          4 |         70 |        327 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                             | UnityShader |        111 |          0 |         21 |        132 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Shaders\TMPro.cginc                                   | UnityShader |         63 |          2 |         20 |         85 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                            | UnityShader |        129 |          2 |         35 |        166 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                        | UnityShader |         62 |          6 |         13 |         81 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                           | UnityShader |         75 |          7 |         18 |        100 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Sprites\EmojiOne.json                                 | JSON        |        155 |          0 |          2 |        157 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TutorialInfo\Scripts\Editor\ReadmeEditor.cs                        | C#          |        195 |          1 |         47 |        243 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TutorialInfo\Scripts\Readme.cs                                     | C#          |         14 |          0 |          3 |         17 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\scripts\ball_driver.cs                                             | C#          |          4 |          1 |          2 |          7 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\scripts\bar_ui.cs                                                  | C#          |         33 |          3 |          3 |         39 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\scripts\beam_driver.cs                                             | C#          |         42 |          3 |         10 |         55 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\scripts\indicator_driver.cs                                        | C#          |         14 |          3 |          2 |         19 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\scripts\keyboard_manager.cs                                        | C#          |         25 |          1 |          8 |         34 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\scripts\main.cs                                                    | C#          |          7 |          2 |          5 |         14 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\scripts\target_manager.cs                                          | C#          |         22 |          2 |          4 |         28 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Packages\manifest.json                                                    | JSON        |         49 |          0 |          1 |         50 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Packages\packages-lock.json                                               | JSON        |        472 |          0 |          1 |        473 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\homework1_unity.slnx                                                      | XML         |          4 |          0 |          1 |          5 |
| Total                                                                                                                               |             |      9,700 |        896 |      2,040 |     12,636 |
+-------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
